"filename", "language", "C++", "XML", "Log", "comment", "blank", "total"
"e:\Programming\TheSocialNetwork\TheSocialNetwork\AppClass.cpp", "C++", 404, 0, 0, 75, 7, 486
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Definitions\ActivityClass.cpp", "C++", 39, 0, 0, 0, 1, 40
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Definitions\ChronoClass.cpp", "C++", 23, 0, 0, 0, 2, 25
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Definitions\CommentClass.cpp", "C++", 37, 0, 0, 1, 5, 43
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Definitions\EntityClass.cpp", "C++", 27, 0, 0, 0, 0, 27
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Definitions\HelperClass.cpp", "C++", 62, 0, 0, 3, 10, 75
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Definitions\PageClass.cpp", "C++", 113, 0, 0, 1, 3, 117
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Definitions\PostClass.cpp", "C++", 129, 0, 0, 1, 3, 133
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Definitions\UserClass.cpp", "C++", 265, 0, 0, 2, 2, 269
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\ActivityClass.hpp", "C++", 21, 0, 0, 0, 4, 25
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\ChronoClass.hpp", "C++", 26, 0, 0, 0, 6, 32
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\CommentClass.hpp", "C++", 32, 0, 0, 0, 5, 37
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\EntityClass.hpp", "C++", 19, 0, 0, 0, 2, 21
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\HelperClass.hpp", "C++", 19, 0, 0, 1, 4, 24
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\PageClass.hpp", "C++", 36, 0, 0, 0, 6, 42
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\PostClass.hpp", "C++", 62, 0, 0, 0, 5, 67
"e:\Programming\TheSocialNetwork\TheSocialNetwork\Headers\UserClass.hpp", "C++", 48, 0, 0, 0, 3, 51
"e:\Programming\TheSocialNetwork\TheSocialNetwork\TheSocialNetwork.vcxproj", "XML", 0, 146, 0, 0, 0, 146
"e:\Programming\TheSocialNetwork\TheSocialNetwork\x64\Debug\TheSocialNetwork.log", "Log", 0, 0, 2, 0, 1, 3
"Total", "-", 1362, 146, 2, 84, 69, 1663
